Employment History,Employment Status,Age,Population estimate,Percentage within age and employment history,Percentage within age and employment status,Percentage within employment status and employment history,Country,Employment status,Percentage within country and employment history,Percentage within country and employment status,Ethnicity,Percentage within ethnicity and employment history,Percentage within ethnicity and employment status,Religion,Percentage within religion and employment history,Percentage within religion and employment status,Sex,Percentage within sex and employment history,Percentage within sex and employment status,Percentage within age,Percentage within employment history,Percentage within employment status,Percentage within religion,Percentage within sex,Percentage Estimate,Title,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
"No, have never worked",Economically Inactive - Student,25 to 29,38060.0,14.7,28.5,2.3,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Student,25 to 29,45370.0,14.4,33.9,9.6,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Student,25 to 29,50290.0,20.7,37.6,7.9,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Looking After Family/Home,25 to 29,72675.0,28.0,34.2,10.7,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Looking After Family/Home,25 to 29,108430.0,34.3,51.0,8.2,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Looking After Family/Home,25 to 29,31515.0,13.0,14.8,10.2,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Long-term Sick or Disabled,25 to 29,64305.0,24.8,58.3,8.5,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Long-term Sick or Disabled,25 to 29,40825.0,12.9,37.0,3.4,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Long-term Sick or Disabled,25 to 29,5200.0,2.1,4.7,7.6,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Retired,25 to 29,605.0,0.2,39.3,0.0,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Retired,25 to 29,665.0,0.2,43.1,0.0,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Retired,25 to 29,270.0,0.1,17.6,0.1,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,25 to 29,56720.0,21.9,34.8,12.0,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,25 to 29,48550.0,15.4,29.8,9.7,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,25 to 29,57790.0,23.8,35.4,10.5,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Unemployed,30 to 34,18905.0,7.7,11.9,6.0,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Unemployed,30 to 34,64975.0,17.5,41.1,10.8,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Unemployed,30 to 34,74350.0,36.5,47.0,9.8,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Student,30 to 34,17275.0,7.0,25.9,1.1,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Student,30 to 34,27425.0,7.4,41.2,5.8,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Student,30 to 34,21870.0,10.7,32.9,3.4,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Looking After Family/Home,30 to 34,100360.0,40.6,31.9,14.8,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Looking After Family/Home,30 to 34,168875.0,45.5,53.7,12.7,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Looking After Family/Home,30 to 34,45065.0,22.1,14.3,14.6,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Long-term Sick or Disabled,30 to 34,59300.0,24.0,47.2,7.8,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Long-term Sick or Disabled,30 to 34,60565.0,16.3,48.2,5.1,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Long-term Sick or Disabled,30 to 34,5670.0,2.8,4.5,8.3,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Retired,30 to 34,675.0,0.3,37.7,0.0,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Retired,30 to 34,835.0,0.2,46.6,0.0,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Retired,30 to 34,280.0,0.1,15.8,0.1,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,30 to 34,50510.0,20.4,32.5,10.7,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,30 to 34,48770.0,13.1,31.3,9.8,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,30 to 34,56370.0,27.7,36.2,10.3,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Unemployed,35 to 39,14885.0,6.5,11.2,4.7,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Unemployed,35 to 39,56685.0,15.1,42.6,9.5,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Unemployed,35 to 39,61435.0,34.6,46.2,8.1,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Student,35 to 39,11415.0,5.0,25.9,0.7,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Student,35 to 39,19895.0,5.3,45.2,4.2,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Student,35 to 39,12730.0,7.2,28.9,2.0,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Looking After Family/Home,35 to 39,102885.0,44.9,31.5,15.1,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Looking After Family/Home,35 to 39,178235.0,47.3,54.6,13.4,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Looking After Family/Home,35 to 39,45080.0,25.4,13.8,14.6,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Long-term Sick or Disabled,35 to 39,57155.0,24.9,41.0,7.5,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Long-term Sick or Disabled,35 to 39,76450.0,20.3,54.8,6.4,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Long-term Sick or Disabled,35 to 39,5945.0,3.3,4.3,8.7,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Retired,35 to 39,885.0,0.4,32.1,0.1,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Retired,35 to 39,1555.0,0.4,56.4,0.0,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Retired,35 to 39,320.0,0.2,11.5,0.1,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,35 to 39,42010.0,18.3,30.5,8.9,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,35 to 39,43800.0,11.6,31.8,8.8,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,35 to 39,52035.0,29.3,37.7,9.5,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Unemployed,40 to 44,12230.0,5.9,10.4,3.9,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Unemployed,40 to 44,50790.0,14.3,43.0,8.5,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Unemployed,40 to 44,55070.0,34.7,46.6,7.2,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Student,40 to 44,7905.0,3.8,24.9,0.5,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Student,40 to 44,14905.0,4.2,47.0,3.2,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Student,40 to 44,8900.0,5.6,28.1,1.4,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Looking After Family/Home,40 to 44,88820.0,43.1,31.6,13.1,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Looking After Family/Home,40 to 44,153560.0,43.2,54.7,11.6,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Looking After Family/Home,40 to 44,38400.0,24.2,13.7,12.4,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Long-term Sick or Disabled,40 to 44,60105.0,29.2,37.9,7.9,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Long-term Sick or Disabled,40 to 44,92500.0,26.0,58.3,7.7,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Long-term Sick or Disabled,40 to 44,6095.0,3.8,3.8,9.0,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Retired,40 to 44,1250.0,0.6,25.1,0.1,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Retired,40 to 44,3100.0,0.9,62.3,0.0,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Retired,40 to 44,625.0,0.4,12.6,0.2,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,40 to 44,35700.0,17.3,28.4,7.6,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,40 to 44,40630.0,11.4,32.3,8.1,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,40 to 44,49530.0,31.2,39.4,9.0,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Unemployed,45 to 49,10575.0,5.4,9.3,3.4,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Unemployed,45 to 49,49165.0,12.9,43.2,8.2,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Unemployed,45 to 49,54085.0,34.7,47.5,7.1,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Student,45 to 49,5115.0,2.6,22.8,0.3,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Student,45 to 49,11005.0,2.9,49.1,2.3,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Student,45 to 49,6305.0,4.0,28.1,1.0,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Looking After Family/Home,45 to 49,72390.0,36.8,29.5,10.6,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Looking After Family/Home,45 to 49,139515.0,36.6,56.8,10.5,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Looking After Family/Home,45 to 49,33550.0,21.5,13.7,10.9,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Long-term Sick or Disabled,45 to 49,73550.0,37.4,35.0,9.7,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Long-term Sick or Disabled,45 to 49,129145.0,33.9,61.5,10.8,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Long-term Sick or Disabled,45 to 49,7270.0,4.7,3.5,10.7,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Retired,45 to 49,2185.0,1.1,17.4,0.2,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Retired,45 to 49,8875.0,2.3,70.8,0.1,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Retired,45 to 49,1480.0,0.9,11.8,0.4,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,45 to 49,32785.0,16.7,25.3,7.0,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,45 to 49,43480.0,11.4,33.6,8.7,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,45 to 49,53175.0,34.1,41.1,9.7,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Unemployed,50 to 54,9675.0,4.6,8.0,3.1,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Unemployed,50 to 54,53310.0,10.8,44.3,8.9,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Unemployed,50 to 54,57385.0,32.2,47.7,7.5,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Student,50 to 54,3105.0,1.5,19.2,0.2,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Student,50 to 54,8755.0,1.8,54.2,1.9,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Student,50 to 54,4285.0,2.4,26.5,0.7,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Looking After Family/Home,50 to 54,62385.0,29.9,25.1,9.2,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Looking After Family/Home,50 to 54,152035.0,30.9,61.2,11.4,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Looking After Family/Home,50 to 54,34100.0,19.1,13.7,11.0,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Long-term Sick or Disabled,50 to 54,93255.0,44.7,32.8,12.3,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Long-term Sick or Disabled,50 to 54,181210.0,36.8,63.8,15.1,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Long-term Sick or Disabled,50 to 54,9500.0,5.3,3.3,14.0,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Retired,50 to 54,6110.0,2.9,10.9,0.4,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Retired,50 to 54,40675.0,8.3,72.3,0.5,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Retired,50 to 54,9435.0,5.3,16.8,2.3,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,50 to 54,34230.0,16.4,22.2,7.3,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,50 to 54,56465.0,11.5,36.6,11.3,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,50 to 54,63445.0,35.6,41.2,11.5,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Unemployed,55 to 59,8030.0,3.7,6.8,2.6,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Unemployed,55 to 59,54500.0,7.7,46.2,9.1,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Unemployed,55 to 59,55550.0,25.3,47.0,7.3,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Student,55 to 59,2035.0,0.9,17.7,0.1,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Student,55 to 59,6720.0,0.9,58.6,1.4,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Student,55 to 59,2715.0,1.2,23.7,0.4,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Looking After Family/Home,55 to 59,51070.0,23.8,21.0,7.5,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Looking After Family/Home,55 to 59,160695.0,22.6,66.0,12.1,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Looking After Family/Home,55 to 59,31815.0,14.5,13.1,10.3,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Long-term Sick or Disabled,55 to 59,101385.0,47.2,30.9,13.3,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Long-term Sick or Disabled,55 to 59,216615.0,30.5,66.0,18.1,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Long-term Sick or Disabled,55 to 59,10295.0,4.7,3.1,15.1,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Retired,55 to 59,20035.0,9.3,7.2,1.4,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Retired,55 to 59,205740.0,29.0,73.8,2.4,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Retired,55 to 59,52960.0,24.1,19.0,13.0,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,55 to 59,32320.0,15.0,19.7,6.9,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,55 to 59,65315.0,9.2,39.9,13.1,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,55 to 59,66055.0,30.1,40.4,12.0,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Unemployed,60 to 64,5500.0,2.4,6.0,1.7,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Unemployed,60 to 64,45795.0,4.2,49.7,7.6,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Unemployed,60 to 64,40925.0,18.1,44.4,5.4,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Student,60 to 64,1180.0,0.5,18.9,0.1,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Student,60 to 64,4000.0,0.4,64.1,0.8,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Student,60 to 64,1065.0,0.5,17.0,0.2,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Looking After Family/Home,60 to 64,38705.0,17.2,21.1,5.7,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Looking After Family/Home,60 to 64,123600.0,11.3,67.5,9.3,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Looking After Family/Home,60 to 64,20870.0,9.2,11.4,6.8,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Long-term Sick or Disabled,60 to 64,89530.0,39.8,28.3,11.8,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Long-term Sick or Disabled,60 to 64,217910.0,20.0,68.8,18.2,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Long-term Sick or Disabled,60 to 64,9285.0,4.1,2.9,13.6,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Retired,60 to 64,63670.0,28.3,7.9,4.4,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Retired,60 to 64,643090.0,59.0,79.4,7.4,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Retired,60 to 64,103070.0,45.5,12.7,25.4,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,60 to 64,26165.0,11.6,19.6,5.5,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,60 to 64,55700.0,5.1,41.8,11.2,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,60 to 64,51530.0,22.7,38.6,9.4,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Unemployed,65 to 69,1275.0,0.4,5.7,0.4,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Unemployed,65 to 69,10935.0,0.6,49.2,1.8,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Unemployed,65 to 69,10040.0,5.7,45.1,1.3,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Student,65 to 69,760.0,0.2,21.3,0.0,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Student,65 to 69,2375.0,0.1,66.2,0.5,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Student,65 to 69,450.0,0.3,12.6,0.1,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Looking After Family/Home,65 to 69,14175.0,4.6,26.4,2.1,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Looking After Family/Home,65 to 69,34095.0,2.0,63.5,2.6,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Looking After Family/Home,65 to 69,5425.0,3.1,10.1,1.8,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Long-term Sick or Disabled,65 to 69,33440.0,10.8,34.6,4.4,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Long-term Sick or Disabled,65 to 69,60920.0,3.5,63.1,5.1,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Long-term Sick or Disabled,65 to 69,2195.0,1.2,2.3,3.2,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Retired,65 to 69,246960.0,80.0,12.4,17.1,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Retired,65 to 69,1606035.0,92.8,80.6,18.5,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Retired,65 to 69,139835.0,79.3,7.0,34.4,,,,,,,,,,,,,,,,,,,,,
